path_from_vendor,original_iso_date,revised_iso_date,note
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325314099272257/,2007-12-08,1879-03-21,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Feb-13-2008/Yale Output/ContentDM Output/ContentDM_Whole Collection/YaleOutput25-01-08/import/cdoc/633375566824190406/,2008-01-24,1980-04-01,April Fools issue listed as March 32; vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/May-26-2008/Yale Daily News/ContentDM Output/Yale260508/import/cdoc/633474749853791090/,2008-04-22,1943-03-17,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325314059118063/,2007-11-27,1879-03-25,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325314078960797/,2007-11-27,1879-03-24,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325314039587813/,2007-11-27,1879-03-26,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325313981309547/,2007-11-27,1879-03-31,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325314000058587/,2007-11-27,1879-03-28,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325314019901321/,2007-11-27,1879-03-27,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325314118802507/,2007-11-27,1879-03-20,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325434167941974/,2007-11-27,1981-01-14,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/TESTd080808/cdoc/633443863021210101/,,1878-01-28,field was blank
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325314000058587/,broken date tag,1879-03-28,vendor error in data entry
YaleDailyNews/YaleDailyNews/Feb-13-2008/Yale Output/ContentDM Output/ContentDM_Whole Collection/YaleOutput25-01-08/import/cdoc/633375474082198721/,2007-10-09,1969-02-05,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Dec-08-2007/YaleDailyNews/import/cdoc/633325396093361098,2007-10-09,1969-02-05,vendor mistook digitization date for publication date
YaleDailyNews/YaleDailyNews/Feb-13-2008/Yale Output/ContentDM Output/ContentDM_Whole Collection/YaleOutput25-01-08/import/cdoc/633375568855527015,1878-01-28,1980-06-01,Summer 1980 issue - almost certainly first week of june. vendor mistook founding date for publication date
YaleDailyNews/YaleDailyNews/Feb-13-2008/Yale Output/ContentDM Output/ContentDM_Whole Collection/YaleOutput25-01-08/import/cdoc/633375578393109369,1878-01-29,1981-04-24,Special Issue: Yale and New Haven - vendor mistook founding date for publication date
YaleDailyNews/YaleDailyNews/Feb-13-2008/Yale Output/ContentDM Output/ContentDM_Whole Collection/YaleOutput25-01-08/import/cdoc/633375544985814138,1878-01-28,1978-06-01,Summer 1978 issue - almost certainly first week of june. vendor mistook founding date for publication date
